Surname,Caste
Ramtel,Sarki
Ruchal,Sarki
Roila,Sarki
Rokka,Sarki
Lamjel,Sarki
Lamsal,Sarki
Shahi,Sarki
Shrimati,Sarki
Sarmaute,Sarki
Siraute,Sarki
Surkheni,Sarki
Suyenl,Sarki
Sejwal,Sarki
Hitang,Sarki
Adhikari,Gaine
Kami,Gaine
Kaushik,Gaine
Poudel,Gaine
Kalichan,Gaine
Gosai,Gaine
Jogi,Gaine
Thakuri,Gaine
Turki,Gaine
Bahun,Gaine
Budhathoki,Gaine
Baikar,Gaine
Baistha,Gaine
Meghnath,Gaine
Bishwakarma,Gaine
Bishnupad,Gaine
Samudri,Gaine
Sai,Gaine
Sursaman,Gaine
Setaparbate,Gaine
Setichan,Gaine
Hukchingranaÿ,Gaine
Bogate,Gaine
Bhusal,Gaine
Bhusalparbate,Gaine
Maheshwar,Gaine
Amatya,Newar
Awa,Newar
Awal,Newar
Awale,Newar
Balami,Newar
Bania,Newar
Banmala,Newar
Bha,Newar
Bhaju,Newar
Bhikshu,Newar
Byanjankar,Newar
Chamkhalak,Newar
Chitrakar,Newar
Chyame,Newar
Dali,Newar
Dangol,Newar
Darshandhari,Newar
Deola,Newar
Desar,Newar
Gurju,Newar
Guruvacharya,Newar
Hada,Newar
Halahulu,Newar
Halwai,Newar
Joshi,Newar
Ka:mi,Newar
Kakchapati,Newar
Kansakar,Newar
Kapali,Newar
Karanjit,Newar
Karmacharya,Newar
Kayastha,Newar
Khadgi,Newar
Kulu,Newar
Kumah,Newar
Kumhal,Newar
Kusle,Newar
Lakhey,Newar
Halwai,Newar
Maharjan,Newar
Malakar,Newar
Mali,Newar
Malla,Newar
Nagarkoti,Newar
Nakarmi,Newar
Napit,Newar
Nepali,Newar
Nyachhyon,Newar
Pahari,Newar
Patrabansh,Newar
Pode,Newar
Pradhan,Newar
Pradhananga,Newar
Prajapati,Newar
Pujari,Newar
Pulu,Newar
Putwar,Newar
Rajbahak,Newar
Rajbhandari,Newar
Rajkarnikar,Newar
Rajopadhyaya,Newar
Rajvanshi,Newar
Ranjit,Newar
Ranjitkar,Newar
Sayami,Newar
Shahi,Newar
Shakya,Newar
Shilpakar,Newar
Shrestha,Newar
Sthapit,Newar
Sikhrakar,Newar
SIlakar,Newar
Sindurakar,Newar
Singh,Newar
Sivacharya,Newar
Suwal,Newar
Tamrakar,Newar
Tandukar,Newar
Tepe,Newar
Tuladhar,Newar
Vaidya,Newar
Vajracharya,Newar
Manandhar,Newar
Maskey,Newar
Mathema,Newar
Mulmi,Newar
Dong,Tamang
Grangdan,Tamang
Goley,Tamang
Titung,Tamang
Bal,Tamang
Dimdong,Tamang
Gongba,Tamang
Gyamden,Tamang
Dartang,Tamang
Gangtang,Tamang
Yonzon,Tamang
Bonzan,Tamang
Dumzan,Tamang
Lopchan,Tamang
Mikchan,Tamang
Ghising,Tamang
Lo,Tamang
Glan,Tamang
Yhesur,Tamang
Moktan,Tamang
Syangdan,Tamang
Pakhrin,Tamang
Syangbo,Tamang
Thokar,Tamang
Rumba,Tamang
Zimba,Tamang
Gyaba,Tamang
Waiba,Tamang
Gongba,Tamang
Lopchan,Tamang
Chothen,Tamang
Blenden,Tamang
Shyongsun,Tamang
Nharten,Tamang
Galden,Tamang
Thing,Tamang
Marpa,Tamang
Nyasur,Tamang
Singar,Tamang
Blon,Tamang
Lo,Tamang
Loba,Tamang
Ghising,Tamang
Glan,Tamang
Marpa,Tamang
Thing,Tamang
Toisang,Tamang
Tupa,Tamang
Blon,Tamang
Syangbo,Tamang
Syangdan,Tamang
Singar,Tamang
Yhesur,Tamang
Thing,Tamang
Toisang,Tamang
Blon,Tamang
Bajyu,Tamang
Lungpa,Tamang
Gyapa,Tamang
Rumba,Tamang
Zimba,Tamang
Waiba,Tamang
Gongba,Tamang
Thokar,Tamang
Moktan,Tamang
Syangdan,Tamang
Pakhrin,Tamang
Syangbo,Tamang
Pakhrin,Tamang
Syangdan,Tamang
Moktan,Tamang
Syangbo,Tamang
Thokar,Tamang
Toisang,Tamang
Chaudhary,Tharu
Tharu,Tharu
Satgaunwa,Tharu
Mahato,Tharu
Mahatara,Tharu
